,, 2023 ,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,,2569
,?????, ??????  ,??????,???????,????????,???????,???????,???????,??????,?????????,???????,??????,??????????, ??????  , ?????? , ???????  , ???????? , ??????? , ??????? , ??????? , ?????? , ????????? , ??????? , ?????? , ?????????? , ?????? , ?????? , ??????? , ???????? , ??????? , ??????? , ??????? , ?????? , ???????? , ??????? , ?????? 
??????,???," 70,565 "," 95,885 "," 83,306 "," 69,719 "," 70,490 "," 79,620 "," 74,363 "," 86,184 "," 99,372 "," 90,677 "," 106,928 "," 86,311 "," 90,661 "," 100,785 "," 119,317 "," 86,071 "," 110,043 "," 107,784 "," 100,616 "," 100,657 "," 100,673 "," 108,498 "," 108,175 "," 84,829 "," 100,194 "," 109,907 "," 94,920 "," 88,309 "," 74,680 "," 103,927 "," 95,756 "," 119,275 "," 137,528 "," 18,575 ",
???????,???," 44,338 "," 57,780 "," 49,665 "," 49,596 "," 50,844 "," 55,688 "," 52,524 "," 60,145 "," 64,448 "," 68,189 "," 66,735 "," 58,435 "," 61,950 "," 62,810 "," 76,198 "," 57,181 "," 71,267 "," 70,697 "," 69,192 "," 66,650 "," 68,297 "," 71,676 "," 57,758 "," 60,248 "," 63,199 "," 68,537 "," 62,943 "," 55,212 "," 41,844 "," 63,216 "," 61,145 "," 68,522 "," 79,259 "," 11,330 ",
????,???," 26,227 "," 38,105 "," 33,641 "," 20,123 "," 19,646 "," 23,932 "," 21,839 "," 26,039 "," 34,924 "," 22,488 "," 40,193 "," 27,876 "," 28,711 "," 37,975 "," 43,119 "," 28,890 "," 38,776 "," 37,087 "," 31,424 "," 34,007 "," 32,376 "," 36,822 "," 50,417 "," 24,581 "," 36,995 "," 41,370 "," 31,977 "," 33,097 "," 32,836 "," 40,711 "," 34,611 "," 50,753 "," 58,269 "," 7,245 ",
????????????????,???, 937 ," 1,466 "," 1,402 ", 875 , 893 , 920 , 840 ," 1,002 "," 1,343 ", 833 ," 1,489 "," 1,115 "," 1,148 "," 1,519 "," 1,597 "," 1,313 "," 1,491 "," 1,426 "," 1,209 "," 1,308 "," 1,295 "," 1,364 "," 2,017 "," 1,117 "," 1,541 "," 1,532 "," 1,454 "," 1,576 "," 1,642 "," 1,628 "," 1,442 "," 2,030 "," 2,331 "," 1,811 ",
??????????????,???, 28 , 26 , 24 , 23 , 22 , 26 , 26 , 26 , 26 , 27 , 27 , 25 , 25 , 25 , 27 , 22 , 26 , 26 , 26 , 26 , 25 , 27 , 25 , 22 , 24 , 27 , 22 , 21 , 20 , 25 , 24 , 25 , 25 , 4 ,
????????????,????, 6 , 4 , 7 , 7 , 9 , 5 , 4 , 5 , 4 , 4 , 4 , 4 , 6 , 5 , 4 , 6 , 4 , 5 , 4 , 5 , 4 , 4 , 6 , 5 , 7 , 3 , 9 , 9 , 4 , 6 , 6 , 6 , 5 , 4 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
